I_real,I_imag,V_real,V_imag
492.6797475853675,175.85615057545925,4.25872,0
486.65231848554726,175.33371606351562,4.26359,0
468.7088259908361,170.50682250072038,4.26136,0
465.9092034154694,169.11099306006915,4.25255,0
456.05367999590794,167.75297954489514,4.25286,0
453.8752919969391,167.82472879672193,4.25305,0
452.618580937516,167.09998692731622,4.25258,0
449.2079613030696,164.43413169393975,4.2423,0
449.6173435879922,163.38756317687526,4.23618,0
451.8414110969212,163.53475117828322,4.22973,0
455.07149844019085,171.69544770726853,4.24039,0
457.48061641599674,169.4779280603808,4.23329,0
478.8261327449716,174.00891326738085,4.23989,0
500.0467314192834,177.43821578761185,4.24988,0
528.5882892824374,179.77794472478067,4.25592,0
537.6742228575396,182.17111155048946,4.25875,0
593.2537663708988,205.17352911070915,4.25296,0
605.4259713921773,211.13103755686535,4.25846,0
608.9668545759992,215.12856813732097,4.27149,0
607.9730301259893,214.93659005256154,4.27425,0
595.4542503795409,212.76248889533844,4.27384,0
578.8526911737147,209.72371395945686,4.27313,0
564.4721111727946,206.8889957734056,4.27181,0
561.7434638301894,207.6552423129756,4.27089,0
553.2845508693449,203.7811839456903,4.25972,0
545.1010330824323,201.97027741097222,4.2632,0
522.5828025659519,193.85191281830427,4.25733,0
522.9313976821131,194.90854982332522,4.25721,0
519.1410976309318,196.60354939459089,4.25755,0
519.883266738774,194.93465815247112,4.24979,0
517.6856814304274,194.869815892339,4.25084,0
505.9297358931645,190.47083124476788,4.24805,0
503.1992576786591,186.98682358831184,4.23353,0
507.2811709330487,187.95568078883633,4.22945,0
520.7586286313981,193.83165105303522,4.23734,0
518.2342271028344,194.2512470877029,4.24244,0
517.9950777088983,192.32311765711478,4.23747,0
522.4190899691109,193.51674944780885,4.23917,0
524.7494662622449,194.8225376117691,4.24872,0
521.9859951166891,194.31535004481702,4.25374,0
519.6686094051917,192.96125509509503,4.24846,0
517.5337832938667,191.7379233473051,4.23709,0
513.3998640547911,187.97121862009098,4.22864,0
511.93477623665973,190.77729374462027,4.2462,0
514.8701102822379,192.04998834146357,4.24813,0
513.3215085761476,192.09759128398252,4.25257,0
513.5948441576785,192.1289725149488,4.25248,0
503.76910210843283,190.92713127490114,4.25449,0
486.31441563999226,184.09510908694153,4.25078,0
479.57719595048195,180.23219301854215,4.24438,0
462.1459423193811,175.54740810883885,4.23882,0
440.08522093367486,162.73316809046204,4.24556,0
427.6914950869663,157.6649579306558,4.24228,0
425.51587591126696,157.57486910185662,4.23982,0
425.2060790408284,156.92476371728185,4.23559,0
420.73128504151555,156.02786978073826,4.23915,0
421.4978509442795,155.2402621047579,4.2361,0
432.9202283286078,158.62222457432028,4.23689,0
437.65736153869216,159.55651386261385,4.23355,0
439.0529292382281,159.2124749142838,4.22369,0
450.3663539919308,162.26392583693675,4.22222,0
455.23335027404306,164.04031689578747,4.22847,0
465.4683553733107,166.96814434815207,4.23447,0
468.1552046128462,168.36243486866098,4.23429,0
472.37239622584264,171.10262452649735,4.24497,0
470.1114107876989,169.29670109957664,4.24395,0
472.97188016095686,169.49478222650242,4.24161,0
477.3355064829161,171.61394976719677,4.24044,0
476.1213209726027,170.86466463053097,4.24125,0
473.56274603356684,172.70176203544497,4.25386,0
471.174109626978,173.49458959352165,4.25986,0
464.59018200107255,172.07792172213817,4.25728,0
462.9995820528027,170.26186592402303,4.25227,0
460.0063857499709,169.2021989019319,4.25226,0
445.73451954809303,163.66189735008783,4.24589,0
440.6810684987817,163.02476200802153,4.24641,0
432.31770028510715,161.11245696468134,4.24194,0
432.61648448313684,160.86878105291854,4.24094,0
431.4578823162218,159.81748034305033,4.23818,0
437.63373410097614,159.37892044067857,4.22736,0
438.0998435758498,158.34635866610876,4.22164,0
438.5726098157179,158.4210111804304,4.22447,0
450.10968902297896,163.75422019489207,4.23427,0
450.8858138720326,163.30715308875708,4.22666,0
461.72795140894596,163.78634185028375,4.23405,0
463.21924899109473,161.75707052282502,4.23891,0
461.70320925823296,160.64986734089857,4.243,0
484.40102695769366,166.4312564013496,4.24543,0
506.75721252126056,176.63524517683882,4.24842,0
519.152727770568,186.0096936946526,4.25086,0
524.354954736208,186.3888206212731,4.24628,0
525.3729509414568,179.78142824848638,4.25067,0
526.9915758011771,181.61375911145134,4.25505,0
518.6733520650283,183.1591052244666,4.26254,0
504.3502712801561,181.26830929766237,4.26457,0
495.66551004142156,180.42439546629342,4.26473,0
484.35411457532416,176.45448908699876,4.26218,0
475.96077998086434,173.51638403622653,4.25991,0
463.65050493527815,168.55734393452462,4.25144,0
461.23016196284453,169.62065162216598,4.25369,0
453.64740189699467,167.37383090885686,4.24404,0
452.33792879562355,167.2969062143272,4.2475,0
450.8468424259944,165.92725392626315,4.23849,0
444.79181601961267,163.10164134972712,4.23745,0
443.6161445798245,163.1411285885085,4.2382,0
449.29766252345854,162.33541226718333,4.22586,0
454.45018313749,165.13778980688164,4.23234,0
455.73636896662356,164.49664806955056,4.2292,0
490.3910146046105,175.4824305851177,4.23292,0
510.40124068029115,183.86863139758094,4.23823,0
534.2192678589574,189.16553367947208,4.24449,0
557.3023330413089,194.67941985663012,4.2468,0
570.1530162022264,195.29228786489188,4.22755,0
556.3081582523366,195.4937084048826,4.26675,0
540.7315000467711,187.26468555808586,4.26573,0
515.2747164376593,174.39559274560182,4.26603,0
530.7900473880457,179.44117753402193,4.26725,0
555.5938318297059,200.54220272497375,4.2684,0
548.7447733442887,202.2158916883764,4.27561,0
