time,x,y
143.24,361,425
143.44,354,421
143.64,349,420
143.84,349,420
144.04,352,421
144.24,357,423
144.44,362,426
144.64,368,428
144.84,375,431
145.04,381,433
145.24,386,434
145.44,389,436
145.64,392,438
145.84,375,429
146.04,358,429
146.24,349,423
146.44,351,423
146.64,354,426
146.84,358,427
147.04,362,428
147.24,364,429
147.44,367,430
147.64,370,432
147.84,372,433
148.04,375,435
148.24,377,435
148.44,377,436
148.64,368,429
148.84,364,429
149.04,355,424
149.24,355,424
149.44,356,425
149.64,359,426
149.84,362,428
150.04,366,429
150.24,370,431
150.44,376,433
150.64,382,436
150.84,382,437
151.04,378,435
151.24,371,431
151.44,364,428
151.64,359,425
151.84,353,422
152.04,352,421
152.24,353,421
152.44,358,424
152.64,364,427
152.84,369,429
153.04,372,430
153.24,375,432
153.44,379,434
153.64,385,437
153.84,364,437
154.04,339,432
154.24,325,422
154.44,306,397
154.64,294,379
154.84,304,392
155.04,336,429
155.24,353,445
155.44,352,430
155.64,364,428
155.84,368,432
156.04,368,431
156.24,362,427
156.44,351,422
156.64,346,420
156.84,345,417
157.04,348,420
157.24,351,422
157.44,355,424
157.64,357,424
157.84,359,425
158.04,362,426
158.24,365,427
158.44,367,428
158.64,370,430
158.84,374,431
159.04,375,431
159.24,376,431
159.44,374,431
159.64,361,424
159.84,346,421
160.04,346,420
160.24,350,423
160.44,355,425
160.64,359,427
160.84,363,429
161.04,366,430
161.24,370,431
161.44,372,433
161.64,373,433
161.84,366,426
162.04,355,426
162.24,349,422
162.44,345,419
162.64,347,420
162.84,354,424
163.04,364,428
163.24,371,431
163.44,375,433
163.64,378,434
163.84,380,435
164.04,383,436
164.24,380,434
164.44,369,428
164.64,355,422
164.84,348,419
165.04,352,422
165.24,358,423
165.44,364,424
165.64,370,426
165.84,375,429
166.04,379,430
166.24,383,432
166.44,387,433
166.64,390,434
166.84,384,439
167.04,355,433
167.24,330,423
167.44,309,402
167.64,295,391
167.84,289,377
168.04,306,392
168.24,344,423
168.44,364,434
168.64,364,431
168.84,363,428
169.04,358,426
169.24,350,419
169.44,355,420
169.64,359,420
169.84,366,421
170.04,372,424
170.24,376,427
170.44,381,429
170.64,385,431
170.84,384,432
171.04,374,430
171.24,367,426
171.44,360,423
171.64,356,420
171.84,357,419
172.04,362,421
172.24,366,423
172.44,369,425
172.64,374,427
172.84,378,430
173.04,383,432
173.24,386,434
173.44,376,427
173.64,361,427
173.84,353,420
174.04,351,416
174.24,354,417
174.44,357,419
174.64,361,421
174.84,365,422
175.04,369,424
175.24,372,427
175.44,376,429
175.64,379,430
175.84,382,432
176.04,382,431
176.24,368,424
176.44,362,421
176.64,354,418
176.84,355,417
177.04,358,419
177.24,362,421
177.44,366,422
177.64,372,424
177.84,375,427
178.04,379,428
178.24,383,430
178.44,384,429
178.64,374,426
178.84,371,426
179.04,355,419
179.24,352,415
179.44,356,418
179.64,362,420
179.84,368,421
180.04,374,423
180.24,379,426
180.44,382,429
180.64,386,431
180.84,391,432
181.04,391,433
181.24,388,432
181.44,377,427
181.64,365,421
181.84,358,418
182.04,354,415
182.24,351,412
182.44,350,408
182.64,350,413
